Year,Datetime,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name
1974.0,03 Jul 1974 - 19:30 ,Group A,Argentina,1.0,1.0,German DR
1974.0,03 Jul 1974 - 19:30 ,Group B,Sweden,2.0,1.0,Yugoslavia
1974.0,06 Jul 1974 - 16:00 ,Match for third place,Brazil,0.0,1.0,Poland
1974.0,07 July 1974 - 16:00 ,Final,Netherlands,1.0,2.0,Germany FR
1978.0,01 Jun 1978 - 15:00 ,Group 2,Germany FR,0.0,0.0,Poland
1978.0,02 Jun 1978 - 13:45 ,Group 1,Italy,2.0,1.0,France
1978.0,02 Jun 1978 - 16:45 ,Group 2,Tunisia,3.0,1.0,Mexico
1978.0,02 Jun 1978 - 19:15 ,Group 1,Argentina,2.0,1.0,Hungary
1978.0,03 Jun 1978 - 13:45 ,Group 3,Sweden,1.0,1.0,Brazil
1978.0,03 Jun 1978 - 13:45 ,Group 3,Austria,2.0,1.0,Spain
1978.0,03 Jun 1978 - 16:45 ,Group 4,Peru,3.0,1.0,Scotland
1978.0,03 Jun 1978 - 16:45 ,Group 4,Netherlands,3.0,0.0,IR Iran
1978.0,06 Jun 1978 - 13:45 ,Group 1,Italy,3.0,1.0,Hungary
1978.0,06 Jun 1978 - 16:45 ,Group 2,Poland,1.0,0.0,Tunisia
1978.0,06 Jun 1978 - 16:45 ,Group 2,Germany FR,6.0,0.0,Mexico
1978.0,06 Jun 1978 - 19:15 ,Group 1,Argentina,2.0,1.0,France
1978.0,07 Jun 1978 - 13:45 ,Group 3,Brazil,0.0,0.0,Spain
1978.0,07 Jun 1978 - 13:45 ,Group 3,Austria,1.0,0.0,Sweden
1978.0,07 Jun 1978 - 16:45 ,Group 4,Scotland,1.0,1.0,IR Iran
1978.0,07 Jun 1978 - 16:45 ,Group 4,Netherlands,0.0,0.0,Peru
1978.0,10 Jun 1978 - 15:10 ,Group 1,France,3.0,1.0,Hungary
1978.0,10 Jun 1978 - 16:45 ,Group 2,Poland,3.0,1.0,Mexico
1978.0,10 Jun 1978 - 16:45 ,Group 2,Germany FR,0.0,0.0,Tunisia
1978.0,10 Jun 1978 - 19:15 ,Group 1,Italy,1.0,0.0,Argentina
1978.0,11 Jun 1978 - 13:45 ,Group 3,Brazil,1.0,0.0,Austria
1978.0,11 Jun 1978 - 13:45 ,Group 3,Spain,1.0,0.0,Sweden
1978.0,11 Jun 1978 - 16:45 ,Group 4,Peru,4.0,1.0,Iran
